county,CZ,cz_label
1069,3,Dothan
1023,9,Meridian
1005,3,Dothan
1107,4,Tuscaloosa
1033,10,Huntsville
4012,37,Los Angeles
4001,32,Gallup
5081,55,Texarkana
5121,46,Jonesboro
6037,37,Los Angeles
6097,58,San Francisco
6001,58,San Francisco
6045,67,Clearlake & Ukiah
6015,63,Brookings & Crescent City
8077,79,Grand Junction
8083,74,Farmington
8067,74,Farmington
6055,58,San Francisco
10005,89,Dover
12086,96,Miami
12071,99,Cape Coral
12037,102,Carrabelle
12033,100,Pensacola
17031,152,Chicago
17017,146,Springfield
17109,146,Springfield
13245,116,Augusta
17041,148,Decatur
13103,115,Savannah
16027,129,Boise
26103,261,Marquette
18061,168,Louisville
19177,178,Ottumwa
19045,158,Dubuque
19163,156,Davenport
18161,172,Richmond
26107,275,Cadillac
26063,272,Detroit
36067,384,Syracuse
20175,215,Liberal
36071,388,Poughkeepsie
8031,72,Denver
36017,383,Binghamton
21101,231,Henderson
21195,236,Pikeville
8019,72,Denver
8055,83,Trinidad
21093,230,Elizabethtown
21127,236,Pikeville
26099,272,Detroit
21135,228,Maysville
22051,240,New Orleans
22111,243,Monroe
22067,243,Monroe
8091,79,Grand Junction
23013,248,Portland
23015,248,Portland
2170,15,Anchorage
2290,18,Fairbanks
24005,252,Baltimore
24047,89,Dover
24031,253,Hagerstown & Frederick
1051,1,Montgomery
1009,5,Birmingham
25001,254,Boston
25013,258,Springfield
26041,261,Marquette
1025,2,Mobile
1055,8,Gadsden
26013,265,Houghton
1115,5,Birmingham
1065,4,Tuscaloosa
27137,283,Duluth
27107,279,Fargo
27173,284,Willmar
28087,302,Starkville & Columbus
29031,312,Cape Girardeau
29201,312,Cape Girardeau
29081,317,Trenton
30031,326,Bozeman
30071,340,Malta
30085,337,Glasgow & Wolf Point
30089,343,Thompson Falls
31103,352,O'Neill
34011,368,Trenton
34041,369,Newark & Jersey City
34005,368,Trenton
34023,369,Newark & Jersey City
35041,374,Clovis
37031,402,Jacksonville
37165,398,Fayetteville
37009,395,Boone
37075,123,Waynesville
38105,342,Williston
38085,417,Mobridge
39123,429,Sandusky
39125,427,Toledo
39035,420,Cleveland
40095,435,Ardmore
40013,435,Ardmore
40023,57,Idabel & De Queen & Mena
41033,457,Medford
41045,129,Boise
41001,447,La Grande
41021,453,NA
42045,90,Philadelphia
42049,385,Erie
42059,463,Pittsburgh
45053,471,Hilton Head Island & Aiken
45043,474,Myrtle Beach
45091,394,Charlotte
45057,394,Charlotte
46009,354,Yankton
47065,118,Chattanooga
47163,489,Johnson City
47009,486,Knoxville
47019,489,Johnson City
48273,499,McAllen
48391,499,McAllen
48201,501,Houston
48443,532,NA
48229,375,El Paso
48205,379,Dumas
48351,239,Beaumont & Lake Charles
54107,430,Parkersburg
49037,538,Moab
49033,132,Evanston
50027,367,Lebanon & Claremont
51119,555,Newport News
51131,541,Chincoteague
51117,397,Roanoke Rapids
51133,554,Warsaw & Tappahannock
51051,553,Big Stone Gap
51107,551,Winchester
51181,401,Virginia Beach
53027,450,Aberdeen
53053,561,Seattle
53047,135,Spokane
53071,460,Kennewick
2066,17,Valdez
54031,251,Cumberland
54023,251,Cumberland
55121,296,Eau Claire
55037,271,Marinette
2100,20,Haines
56045,579,Gillette
5013,44,El Dorado
5061,45,Hot Springs
5099,45,Hot Springs
5103,44,El Dorado
6063,68,Susanville
6101,62,Sacramento
6021,61,Redding & Chico
8015,76,Salida
8065,80,Rifle & Edwards
8027,78,Colorado Springs
12097,98,Orlando
12119,98,Orlando
12107,93,Jacksonville
13219,120,Athens
13135,109,Gainesville
13009,108,Milledgeville
13001,106,Douglas
13271,121,Dublin
13217,117,Atlanta
13163,116,Augusta
13267,115,Savannah
13317,116,Augusta
13319,108,Milledgeville
13237,108,Milledgeville
13079,113,Macon & Warner Robins
16013,134,Twin Falls
16023,131,Idaho Falls
16025,134,Twin Falls
17065,151,Mount Vernon & Centralia
18055,173,Bloomington
18051,162,Evansville
18027,162,Evansville
19039,187,Osceola
19001,175,Des Moines
20027,205,Manhattan
20171,217,Scott City
20047,204,Dodge City
21115,236,Pikeville
21175,223,Mount Sterling & Morehead
21095,237,Harlan
21187,221,Lexington
21097,221,Lexington
21197,223,Mount Sterling & Morehead
21069,228,Maysville
21063,226,Huntington
21079,221,Lexington
22069,244,Shreveport
22081,244,Shreveport
22001,238,Lafayette
23007,248,Portland
25015,258,Springfield
26095,268,Sault Ste. Marie
27097,280,St. Cloud
27023,284,Willmar
27139,278,Minneapolis
27087,279,Fargo
28121,299,Jackson
28083,301,Greenwood & Grenada
29113,160,St. Louis
29167,310,Springfield
29207,312,Cape Girardeau
30013,325,Great Falls
30093,331,Missoula
30055,337,Glasgow & Wolf Point
30059,326,Bozeman
30033,334,NA
31071,359,Ord
31115,359,Ord
31075,360,NA
36053,384,Syracuse
36077,383,Binghamton
36051,390,Rochester
37147,405,Greenville
37085,398,Fayetteville
37079,405,Greenville
37125,398,Fayetteville
37023,392,Hickory
37021,400,Asheville
37093,398,Fayetteville
38073,413,Lisbon & Oakes
38007,344,Dickinson
39101,419,Mansfield
40027,437,Oklahoma City
42071,462,Harrisburg & Lancaster
42043,462,Harrisburg & Lancaster
42067,468,State College
42027,468,State College
42035,466,Williamsport
42063,464,Altoona
42099,462,Harrisburg & Lancaster
45077,470,Greenville
45041,474,Myrtle Beach
45087,407,Spartanburg
46103,479,Rapid City
46095,356,Valentine
47035,494,Crossville
47021,490,Nashville
47005,488,Paris
47041,492,Cookeville
47129,486,Knoxville
47185,492,Cookeville
47151,486,Knoxville
47107,118,Chattanooga
47117,487,Murfreesboro
47003,487,Murfreesboro
48373,498,Lufkin
48139,445,Dallas
48491,502,Austin
48213,497,Tyler
48005,498,Lufkin
48441,512,Abilene
48199,239,Beaumont & Lake Charles
48055,502,Austin
48063,55,Texarkana
48395,506,College Station
48223,516,Greenville & Paris
48225,497,Tyler
48341,379,Dumas
48461,376,Odessa & Midland
48387,516,Greenville & Paris
48383,514,San Angelo
48313,522,Mexia
49051,536,Salt Lake City
49057,536,Salt Lake City
49035,536,Salt Lake City
51101,544,Richmond
51085,544,Richmond
51003,542,Charlottesville
51019,545,Lynchburg
51067,547,Roanoke
51015,546,Harrisonburg
51113,552,Culpeper
51053,544,Richmond
51121,547,Roanoke
51081,397,Roanoke Rapids
53005,460,Kennewick
54085,430,Parkersburg
54033,566,Morgantown
54017,566,Morgantown
54043,565,Charleston
54001,564,Elkins
54007,566,Morgantown
55111,574,Madison
55107,571,Rice Lake
72097,591,San Germán & Mayagüez
72031,590,San Juan
72113,589,Ponce
72039,588,Arecibo
72047,590,San Juan
72037,590,San Juan
72067,591,San Germán & Mayagüez
21237,223,Mount Sterling & Morehead
48243,507,Alpine
10003,90,Philadelphia
6005,60,Stockton & Modesto
6089,61,Redding & Chico
4013,35,Phoenix
12127,101,Deltona
12101,105,Tampa
12123,92,Gainesville
12017,98,Orlando
12131,100,Pensacola
12031,93,Jacksonville
12053,105,Tampa
12065,103,Tallahassee
12039,103,Tallahassee
17043,152,Chicago
17161,156,Davenport
13215,7,Columbus
13039,93,Jacksonville
13127,114,Brunswick
13049,93,Jacksonville
13241,123,Waynesville
1089,10,Huntsville
1071,8,Gadsden
5007,42,Fayetteville
4015,37,Los Angeles
4005,34,Prescott Valley & Flagstaff
5073,48,Magnolia
5133,57,Idabel & De Queen & Mena
5021,46,Jonesboro
5107,39,Forrest City
5093,56,Blytheville
5015,43,Harrison
6083,71,Santa Barbara
