CZ,YEAR,airea,TOTAL_JOB_POSTS
1,2010,0,9237
1,2010,1,2526
1,2011,0,12946
1,2011,1,4389
1,2012,0,8948
1,2012,1,3448
1,2013,0,17984
1,2013,1,5046
1,2014,0,19710
1,2014,1,5682
1,2015,0,20275
1,2015,1,5819
1,2016,0,24276
1,2016,1,6585
1,2017,0,23613
1,2017,1,6617
1,2018,0,31318
1,2018,1,8900
1,2019,0,35155
1,2019,1,9169
1,2020,0,31373
1,2020,1,8542
1,2021,0,48032
1,2021,1,12303
1,2022,0,45910
1,2022,1,11312
1,2023,0,52623
1,2023,1,12421
1,2024,0,48204
1,2024,1,11600
1,2025,0,8463
1,2025,1,2147
2,2010,0,21957
2,2010,1,7044
2,2011,0,27376
2,2011,1,10174
2,2012,0,23843
2,2012,1,9771
2,2013,0,25417
2,2013,1,9639
2,2014,0,27742
2,2014,1,9873
2,2015,0,25015
2,2015,1,8818
2,2016,0,30900
2,2016,1,9792
2,2017,0,29664
2,2017,1,10098
2,2018,0,35984
2,2018,1,12834
2,2019,0,37227
2,2019,1,13121
2,2020,0,38684
2,2020,1,12336
2,2021,0,58585
2,2021,1,18784
2,2022,0,58027
2,2022,1,19247
2,2023,0,60086
2,2023,1,20222
2,2024,0,45439
2,2024,1,15421
2,2025,0,7907
2,2025,1,2628
3,2010,0,6334
3,2010,1,2018
3,2011,0,8130
3,2011,1,2476
3,2012,0,5195
3,2012,1,2011
3,2013,0,12580
3,2013,1,3403
3,2014,0,10735
3,2014,1,3209
3,2015,0,10599
3,2015,1,3998
3,2016,0,13436
3,2016,1,3748
3,2017,0,12462
3,2017,1,4440
3,2018,0,13243
3,2018,1,4494
3,2019,0,11570
3,2019,1,3488
3,2020,0,9898
3,2020,1,2865
3,2021,0,13144
3,2021,1,4318
3,2022,0,11883
3,2022,1,3704
3,2023,0,13858
3,2023,1,3750
3,2024,0,10022
3,2024,1,2892
3,2025,0,2103
3,2025,1,579
4,2010,0,4823
4,2010,1,1481
4,2011,0,6733
4,2011,1,2553
4,2012,0,7561
4,2012,1,2517
4,2013,0,11905
4,2013,1,4000
4,2014,0,12515
4,2014,1,3903
4,2015,0,13355
4,2015,1,4001
4,2016,0,20601
4,2016,1,5102
4,2017,0,17345
4,2017,1,5526
4,2018,0,13604
4,2018,1,4711
4,2019,0,14790
4,2019,1,4552
4,2020,0,14857
4,2020,1,4473
4,2021,0,22109
4,2021,1,6890
4,2022,0,21416
4,2022,1,5865
4,2023,0,23030
4,2023,1,6203
4,2024,0,20962
4,2024,1,5637
4,2025,0,3160
4,2025,1,894
5,2010,0,39717
5,2010,1,11114
5,2011,0,46993
5,2011,1,14234
5,2012,0,54560
5,2012,1,16653
5,2013,0,55867
5,2013,1,15423
5,2014,0,58093
5,2014,1,16820
5,2015,0,65849
5,2015,1,19172
5,2016,0,79023
5,2016,1,20073
5,2017,0,76765
5,2017,1,20943
5,2018,0,88596
5,2018,1,27391
5,2019,0,99340
5,2019,1,26682
5,2020,0,94594
5,2020,1,25555
5,2021,0,134402
5,2021,1,38867
5,2022,0,140736
5,2022,1,37503
5,2023,0,133343
5,2023,1,36281
5,2024,0,114889
5,2024,1,31235
5,2025,0,19611
5,2025,1,6122
6,2010,0,5391
6,2010,1,1520
6,2011,0,6780
6,2011,1,2260
6,2012,0,7281
6,2012,1,2427
6,2013,0,10549
6,2013,1,3030
6,2014,0,11793
6,2014,1,3856
6,2015,0,12507
6,2015,1,4688
6,2016,0,16251
6,2016,1,4960
6,2017,0,15641
6,2017,1,6185
6,2018,0,15636
6,2018,1,6132
6,2019,0,13471
6,2019,1,4829
6,2020,0,16256
6,2020,1,5597
6,2021,0,21598
6,2021,1,8097
6,2022,0,22999
6,2022,1,6829
6,2023,0,24566
6,2023,1,7363
6,2024,0,19537
6,2024,1,6080
6,2025,0,3288
6,2025,1,1108
7,2010,0,13729
7,2010,1,4158
7,2011,0,19176
7,2011,1,5644
7,2012,0,18950
7,2012,1,6089
7,2013,0,38132
7,2013,1,10310
7,2014,0,32245
7,2014,1,9077
7,2015,0,32569
7,2015,1,9023
7,2016,0,41563
7,2016,1,10566
7,2017,0,38195
7,2017,1,11629
7,2018,0,41863
7,2018,1,12326
7,2019,0,45178
7,2019,1,12704
7,2020,0,45856
7,2020,1,12698
7,2021,0,68071
7,2021,1,18705
7,2022,0,67898
7,2022,1,17882
7,2023,0,66395
7,2023,1,17233
7,2024,0,55685
7,2024,1,14321
7,2025,0,9496
7,2025,1,2490
8,2010,0,4471
8,2010,1,1342
8,2011,0,5304
8,2011,1,2137
8,2012,0,5580
8,2012,1,1995
8,2013,0,10646
8,2013,1,2971
8,2014,0,8564
8,2014,1,2945
8,2015,0,8257
8,2015,1,3288
8,2016,0,11407
8,2016,1,3556
8,2017,0,10371
8,2017,1,4520
8,2018,0,11389
8,2018,1,4581
8,2019,0,10212
8,2019,1,3103
8,2020,0,11352
8,2020,1,3657
8,2021,0,15985
8,2021,1,5668
8,2022,0,15490
8,2022,1,4490
8,2023,0,16510
8,2023,1,4576
8,2024,0,13939
8,2024,1,3621
8,2025,0,2522
8,2025,1,706
9,2010,0,2876
9,2010,1,972
9,2011,0,3747
9,2011,1,1347
9,2012,0,2769
9,2012,1,1126
9,2013,0,5391
9,2013,1,2352
9,2014,0,6407
9,2014,1,2238
9,2015,0,5921
9,2015,1,2308
9,2016,0,7005
9,2016,1,2571
9,2017,0,6746
9,2017,1,2860
9,2018,0,6453
9,2018,1,2465
9,2019,0,4971
9,2019,1,1677
9,2020,0,5393
9,2020,1,1946
9,2021,0,6731
9,2021,1,2165
9,2022,0,6728
9,2022,1,1818
9,2023,0,7769
9,2023,1,2032
9,2024,0,8098
9,2024,1,2431
9,2025,0,1914
9,2025,1,482
10,2010,0,27754
10,2010,1,8174
10,2011,0,31500
10,2011,1,11275
10,2012,0,27179
10,2012,1,9912
10,2013,0,38339
10,2013,1,11938
10,2014,0,35401
