CZ_label,YEAR,airea_posts,airea_posts_p1000,airea_pct
"Aberdeen, SD CZ",2010,587,0.030357266606240878,26.779197080291972
"Aberdeen, SD CZ",2011,597,0.025941038761584243,24.317718940936864
"Aberdeen, SD CZ",2012,1476,0.08163252212563772,27.062706270627064
"Aberdeen, SD CZ",2013,2455,0.13812293889906696,28.700023380874445
"Aberdeen, SD CZ",2014,2139,0.13068417337141244,28.18924617817607
"Aberdeen, SD CZ",2015,2614,0.1616876306399303,29.32136848008974
"Aberdeen, SD CZ",2016,1850,0.11653822059677359,26.027011817670232
"Aberdeen, SD CZ",2017,1741,0.11441824843206197,34.48890649762282
"Aberdeen, SD CZ",2018,967,0.06189611514186429,28.525073746312685
"Aberdeen, SD CZ",2019,795,0.05297976125170712,31.373322809786895
"Aberdeen, SD CZ",2020,1004,0.06661746529512283,29.56419316843345
"Aberdeen, SD CZ",2021,1504,0.09081793187338993,32.745482255606355
"Aberdeen, SD CZ",2022,1668,0.09116591074987261,34.76448520216757
"Aberdeen, SD CZ",2023,1812,0.11133169354919005,33.843855061636155
"Aberdeen, SD CZ",2024,1400,0,21.810250817884405
"Aberdeen, SD CZ",2025,180,0,25.139664804469277
"Aberdeen, WA CZ",2010,767,0.01862208743703393,21.678914641040137
"Aberdeen, WA CZ",2011,1092,0.02438404375813189,25.295343988881168
"Aberdeen, WA CZ",2012,1082,0.023928981417351856,24.189581936060808
"Aberdeen, WA CZ",2013,1260,0.02945078668846481,23.62204724409449
"Aberdeen, WA CZ",2014,1217,0.028806244339011862,24.806359559722786
"Aberdeen, WA CZ",2015,1869,0.04609501396281661,22.38859607091519
"Aberdeen, WA CZ",2016,1983,0.0478247340956576,21.486618268501463
"Aberdeen, WA CZ",2017,1939,0.04576634876567998,23.124627310673823
"Aberdeen, WA CZ",2018,1543,0.034583632622833295,23.05738194859534
"Aberdeen, WA CZ",2019,1171,0.027049604566650218,22.270825408900723
"Aberdeen, WA CZ",2020,1337,0.027944225332907663,23.534588980813236
"Aberdeen, WA CZ",2021,1998,0.04038160832236121,25.668036998972248
"Aberdeen, WA CZ",2022,1989,0.040383297765457654,23.16022356776898
"Aberdeen, WA CZ",2023,1450,0.030342336370548624,20.390943608493885
"Aberdeen, WA CZ",2024,1738,0,18.33139964138804
"Aberdeen, WA CZ",2025,327,0,17.505353319057814
"Abilene, TX CZ",2010,1792,0.017868109169704743,27.23404255319149
"Abilene, TX CZ",2011,2738,0.027815087430527945,28.81195411975166
"Abilene, TX CZ",2012,2126,0.021524504428083884,31.15474794841735
"Abilene, TX CZ",2013,2705,0.035085401053895356,28.416850509507302
"Abilene, TX CZ",2014,3116,0.0375815431464948,29.307750188111363
"Abilene, TX CZ",2015,2644,0.03569499827624589,27.513007284079084
"Abilene, TX CZ",2016,2514,0.041500324685005634,24.327462744339076
"Abilene, TX CZ",2017,3078,0.07576786895043003,27.05934065934066
"Abilene, TX CZ",2018,4355,0.06502384520962042,29.295035651822953
"Abilene, TX CZ",2019,4205,0.05465150855854651,25.348122249683524
"Abilene, TX CZ",2020,4269,0.06730160376923501,22.854542534396916
"Abilene, TX CZ",2021,5995,0.07645242732080684,26.970487673204968
"Abilene, TX CZ",2022,6992,0.09126566512875202,24.516129032258064
"Abilene, TX CZ",2023,6895,0.09234592011330259,24.2133726647001
"Abilene, TX CZ",2024,5764,0,24.616698697416187
"Abilene, TX CZ",2025,1006,0,26.355776788053447
"Alamogordo, NM CZ",2010,328,0.007556606765670813,24.90508731966591
"Alamogordo, NM CZ",2011,469,0.010926956115414188,24.762407602956703
"Alamogordo, NM CZ",2012,447,0.009965958340590778,25.630733944954127
"Alamogordo, NM CZ",2013,461,0.010216231866947485,22.281295311744802
"Alamogordo, NM CZ",2014,792,0.018866629206583437,28.82096069868996
"Alamogordo, NM CZ",2015,756,0.018198187463949564,26.059979317476735
"Alamogordo, NM CZ",2016,1032,0.02591705685231123,25.684420109507215
"Alamogordo, NM CZ",2017,1220,0.029800065852411083,27.0990670812972
"Alamogordo, NM CZ",2018,979,0.019766951495244045,22.94352003749707
"Alamogordo, NM CZ",2019,897,0.022375076130620897,23.33506763787721
"Alamogordo, NM CZ",2020,913,0.021970680317080427,25.90805902383655
"Alamogordo, NM CZ",2021,987,0.024167505955210406,31.20455263989883
