cz,is_green_soc,year,num_postings
1,0,2010,10491
1,0,2011,14944
1,0,2012,10567
1,0,2013,20594
1,0,2014,22380
1,0,2015,23242
1,0,2016,27500
1,0,2017,26586
1,0,2018,35275
1,0,2019,39473
1,0,2020,35978
1,0,2021,54434
1,0,2022,51290
1,0,2023,58218
1,0,2024,53224
1,1,2010,1272
1,1,2011,2391
1,1,2012,1829
1,1,2013,2436
1,1,2014,3012
1,1,2015,2852
1,1,2016,3361
1,1,2017,3644
1,1,2018,4943
1,1,2019,4851
1,1,2020,3937
1,1,2021,5901
1,1,2022,5932
1,1,2023,6826
1,1,2024,6580
2,0,2010,25474
2,0,2011,31740
2,0,2012,27339
2,0,2013,29949
2,0,2014,32446
2,0,2015,29227
2,0,2016,35682
2,0,2017,34861
2,0,2018,42405
2,0,2019,43321
2,0,2020,45559
2,0,2021,68808
2,0,2022,67201
2,0,2023,69401
2,0,2024,52648
2,1,2010,3527
2,1,2011,5810
2,1,2012,6275
2,1,2013,5107
2,1,2014,5169
2,1,2015,4606
2,1,2016,5010
2,1,2017,4901
2,1,2018,6413
2,1,2019,7027
2,1,2020,5461
2,1,2021,8561
2,1,2022,10073
2,1,2023,10907
2,1,2024,8212
3,0,2010,7592
3,0,2011,9421
3,0,2012,6171
3,0,2013,14278
3,0,2014,12369
3,0,2015,12742
3,0,2016,15309
3,0,2017,14958
3,0,2018,15332
3,0,2019,13188
3,0,2020,11563
3,0,2021,15778
3,0,2022,13906
3,0,2023,15834
3,0,2024,11476
3,1,2010,760
3,1,2011,1185
3,1,2012,1035
3,1,2013,1705
3,1,2014,1575
3,1,2015,1855
3,1,2016,1875
3,1,2017,1944
3,1,2018,2405
3,1,2019,1870
3,1,2020,1200
3,1,2021,1684
3,1,2022,1681
3,1,2023,1774
3,1,2024,1438
4,0,2010,5703
4,0,2011,8033
4,0,2012,8807
4,0,2013,13886
4,0,2014,14447
4,0,2015,15532
4,0,2016,23299
4,0,2017,20635
4,0,2018,16081
4,0,2019,16844
4,0,2020,17287
4,0,2021,25895
4,0,2022,24025
4,0,2023,25744
4,0,2024,23691
4,1,2010,601
4,1,2011,1253
4,1,2012,1271
4,1,2013,2019
4,1,2014,1971
4,1,2015,1824
4,1,2016,2404
4,1,2017,2236
4,1,2018,2234
4,1,2019,2498
4,1,2020,2043
4,1,2021,3104
4,1,2022,3256
4,1,2023,3489
4,1,2024,2908
5,0,2010,44897
5,0,2011,53357
5,0,2012,62595
5,0,2013,62815
5,0,2014,65530
5,0,2015,74706
5,0,2016,88184
5,0,2017,86884
5,0,2018,102203
5,0,2019,111052
5,0,2020,107342
5,0,2021,154315
5,0,2022,157121
5,0,2023,148600
5,0,2024,128625
5,1,2010,5934
5,1,2011,7870
5,1,2012,8618
5,1,2013,8475
5,1,2014,9383
5,1,2015,10315
5,1,2016,10912
5,1,2017,10824
5,1,2018,13784
5,1,2019,14970
5,1,2020,12807
5,1,2021,18954
5,1,2022,21118
5,1,2023,21024
5,1,2024,17499
6,0,2010,6349
6,0,2011,7901
6,0,2012,8320
6,0,2013,11990
6,0,2014,13450
6,0,2015,14615
6,0,2016,18490
6,0,2017,19045
6,0,2018,18427
6,0,2019,15164
6,0,2020,19043
6,0,2021,26031
6,0,2022,25724
6,0,2023,27724
6,0,2024,21840
6,1,2010,562
6,1,2011,1139
6,1,2012,1388
6,1,2013,1589
6,1,2014,2199
6,1,2015,2580
6,1,2016,2721
6,1,2017,2781
6,1,2018,3341
6,1,2019,3136
6,1,2020,2810
6,1,2021,3664
6,1,2022,4104
6,1,2023,4205
6,1,2024,3777
7,0,2010,15840
7,0,2011,21663
7,0,2012,21684
7,0,2013,42693
7,0,2014,35986
7,0,2015,36589
7,0,2016,46092
7,0,2017,43844
7,0,2018,47660
7,0,2019,51016
7,0,2020,52397
7,0,2021,77511
7,0,2022,75953
7,0,2023,74168
7,0,2024,62220
7,1,2010,2047
7,1,2011,3157
7,1,2012,3355
7,1,2013,5749
7,1,2014,5336
7,1,2015,5003
7,1,2016,6037
7,1,2017,5980
7,1,2018,6529
7,1,2019,6866
7,1,2020,6157
7,1,2021,9265
7,1,2022,9827
7,1,2023,9460
7,1,2024,7786
8,0,2010,5364
8,0,2011,6374
8,0,2012,6723
8,0,2013,12116
8,0,2014,10045
8,0,2015,10159
8,0,2016,13322
8,0,2017,13260
8,0,2018,13756
8,0,2019,11362
8,0,2020,13506
8,0,2021,19217
8,0,2022,17685
8,0,2023,18497
8,0,2024,15730
8,1,2010,449
8,1,2011,1067
8,1,2012,852
8,1,2013,1501
8,1,2014,1464
8,1,2015,1386
8,1,2016,1641
8,1,2017,1631
8,1,2018,2214
8,1,2019,1953
8,1,2020,1503
8,1,2021,2436
8,1,2022,2295
8,1,2023,2589
8,1,2024,1830
9,0,2010,3492
9,0,2011,4364
9,0,2012,3257
9,0,2013,6643
9,0,2014,7588
9,0,2015,7223
9,0,2016,8394
9,0,2017,8505
9,0,2018,7707
9,0,2019,5786
9,0,2020,6311
9,0,2021,7784
9,0,2022,7687
9,0,2023,8704
9,0,2024,9322
9,1,2010,356
9,1,2011,730
9,1,2012,638
9,1,2013,1100
9,1,2014,1057
9,1,2015,1006
9,1,2016,1182
9,1,2017,1101
9,1,2018,1211
9,1,2019,862
9,1,2020,1028
9,1,2021,1112
9,1,2022,859
9,1,2023,1097
9,1,2024,1207
10,0,2010,30090
10,0,2011,35289
10,0,2012,30568
10,0,2013,42721
10,0,2014,39493
10,0,2015,43167
10,0,2016,55247
10,0,2017,58575
10,0,2018,70844
10,0,2019,83277
10,0,2020,74828
10,0,2021,104958
10,0,2022,111562
10,0,2023,112691
10,0,2024,98505
10,1,2010,5838
10,1,2011,7486
10,1,2012,6523
10,1,2013,7556
10,1,2014,7443
10,1,2015,8016
10,1,2016,10190
10,1,2017,11833
10,1,2018,16028
10,1,2019,17930
10,1,2020,15324
10,1,2021,19254
10,1,2022,22918
10,1,2023,23597
10,1,2024,19757
11,0,2010,1918
11,0,2011,2167
11,0,2012,1419
11,0,2013,2516
11,0,2014,2992
11,0,2015,5537
11,0,2016,4409
11,0,2017,4611
11,0,2018,4525
11,0,2019,3546
11,0,2020,3219
11,0,2021,4237
11,0,2022,3776
11,0,2023,5434
11,0,2024,4016
11,1,2010,136
11,1,2011,293
11,1,2012,171
11,1,2013,465
11,1,2014,460
11,1,2015,565
