year,soc_group_short,total_postings
2010,Management,212607
2010,Business & Financial Ops,37001
2010,Computer & Math,1
2010,Architecture & Engineering,348016
2010,Life/Physical/Social Sci,113743
2010,"Arts, Media & Sports",20994
2010,Healthcare Practitioners & Tech,2740
2010,Protective Service,2187
2010,Building & Grounds Maint,33890
2010,Personal Care & Service,16043
2010,Farming/Fishing/Forestry,4500
2010,Construction & Extraction,93132
2010,Install/Maint/Repair,312182
2010,Production,112127
2010,Transportation & Material Moving,214673
2011,Management,281931
2011,Business & Financial Ops,49242
2011,Computer & Math,1
2011,Architecture & Engineering,507743
2011,Life/Physical/Social Sci,145570
2011,"Arts, Media & Sports",26602
2011,Healthcare Practitioners & Tech,2890
2011,Protective Service,2636
2011,Building & Grounds Maint,40313
2011,Personal Care & Service,24412
2011,Farming/Fishing/Forestry,5459
2011,Construction & Extraction,116197
2011,Install/Maint/Repair,392408
2011,Production,165555
2011,Transportation & Material Moving,292218
2012,Management,281607
2012,Business & Financial Ops,51533
2012,Architecture & Engineering,520701
2012,Life/Physical/Social Sci,152491
2012,"Arts, Media & Sports",29354
2012,Healthcare Practitioners & Tech,4822
2012,Protective Service,2451
2012,Building & Grounds Maint,44362
2012,Personal Care & Service,22736
2012,Farming/Fishing/Forestry,6011
2012,Construction & Extraction,119064
2012,Install/Maint/Repair,398852
2012,Production,164712
2012,Transportation & Material Moving,275987
2013,Management,365340
2013,Business & Financial Ops,68792
2013,Architecture & Engineering,597874
2013,Life/Physical/Social Sci,187428
2013,"Arts, Media & Sports",34222
2013,Healthcare Practitioners & Tech,5982
2013,Protective Service,3807
2013,Building & Grounds Maint,63272
2013,Personal Care & Service,34303
2013,Farming/Fishing/Forestry,10799
2013,Construction & Extraction,203536
2013,Install/Maint/Repair,577181
2013,Production,235417
2013,Transportation & Material Moving,441112
2014,Management,388383
2014,Business & Financial Ops,75418
2014,Computer & Math,1
2014,Architecture & Engineering,601301
2014,Life/Physical/Social Sci,199398
2014,"Arts, Media & Sports",35347
2014,Healthcare Practitioners & Tech,7672
2014,Protective Service,4582
2014,Building & Grounds Maint,74637
2014,Personal Care & Service,38535
2014,Farming/Fishing/Forestry,12879
2014,Construction & Extraction,235625
2014,Install/Maint/Repair,640606
2014,Production,264537
2014,Transportation & Material Moving,656652
2015,Management,429249
2015,Business & Financial Ops,83239
2015,Computer & Math,1
2015,Architecture & Engineering,667327
2015,Life/Physical/Social Sci,208474
2015,"Arts, Media & Sports",42890
2015,Healthcare Practitioners & Tech,11634
2015,Protective Service,5252
2015,Building & Grounds Maint,74511
2015,Personal Care & Service,26467
2015,Farming/Fishing/Forestry,14704
2015,Construction & Extraction,238879
2015,Install/Maint/Repair,671577
2015,Production,228369
2015,Transportation & Material Moving,827846
2016,Management,448127
2016,Business & Financial Ops,84463
2016,Computer & Math,2
2016,Architecture & Engineering,646422
2016,Life/Physical/Social Sci,206093
2016,"Arts, Media & Sports",41459
2016,Healthcare Practitioners & Tech,16686
2016,Protective Service,4667
