institution,cz_label,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,pct_airea_completions
Adirondack Community College,"Albany, NY",20.25964912280702,0.5964912280701756,3932.0385964912284,1,2,0.029442327675788024
Aiken Technical College,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",10.315709969788522,1.2341389728096661,2468.8353474320274,1,2,0.11963684287596996
Aims Community College,"Fort Collins, CO",18.794534412955443,4.201417004048568,5910.8856275303715,0,2,0.22354461737304054
Alabama Southern Community College,"Andalusia, AL & Atmore, AL",21.819047619047616,6.676190476190476,1337.0857142857144,1,2,0.30597992143168923
Alamance Community College,"Burlington, NC",11.574580759046777,2.4227714033539294,4392.281553398056,1,2,0.20931828580143377
Albany Technical College,"Albany, GA",15.533150684931455,4.56493150684927,3402.7671232876805,0,2,0.29388316636094064
Alexandria Technical & Community College,"Alexandria, MN & Fergus Falls, MN",13.348427672955992,3.2440251572327035,2734.8515723270443,1,2,0.24302676215604938
Allan Hancock College,"Santa Barbara, CA",22.414246196403905,3.654218533886577,11167.441908713696,0,2,0.1630310696985586
Allegany College of Maryland,"Cumberland, MD",14.095588235294102,1.2573529411764748,2990.3941176470616,1,2,0.0892018779342727
Allen County Community College,"Parsons, KS & Chanute, KS",7.740521327014215,0.75,2565.210900473935,1,2,0.09689269860707182
Alpena Community College,"Alpena, MI",4.258167330677287,1.6629482071713164,1613.6509960159383,1,2,0.3905314371257493
Alvin Community College,"Houston, TX",17.34033149171269,2.7414364640884,5429.030939226519,0,2,0.15809596635442583
Amarillo College,"Amarillo, TX",16.071571906354425,3.1431438127090345,10285.525752508363,0,2,0.19557164856203574
American River College,"Sacramento, CA",29.903609154929526,5.86795774647889,30034.324383802836,0,2,0.1962290811144973
Angelina College,"Lufkin, TX",11.797116374871255,2.038105046343975,4994.659114315134,1,2,0.17276298559580985
Anne Arundel Community College,"Baltimore, MD",20.865591397849474,1.2379032258064535,14205.857526881773,0,2,0.05932749291419743
Anoka Technical College,"Minneapolis, MN",10.138562091503262,2.883660130718954,1980.4692810457534,0,2,0.28442496132026834
Anoka-Ramsey Community College,"Minneapolis, MN",26.94395796847635,0.2661996497373031,8736.043782837123,0,2,0.009879753006174852
Antelope Valley College,"Los Angeles, CA",19.57603305785114,4.115702479338848,14028.22066115703,0,2,0.2102419048423199
Antelope Valley Community College District,"Los Angeles, CA",26.81039755351681,4.525993883792051,11971.871559633026,0,2,0.16881487395916517
Arapahoe Community College,"Denver, CO",21.032822757111592,1.808533916849016,11494.733041575497,0,2,0.0859862671660425
Arizona Western College,"Yuma, AZ",16.299746514575407,1.8403041825095103,7764.500633713565,1,2,0.11290385288285869
Arkansas Northeastern College,"Blytheville, AR",11.96943231441048,2.0567685589519646,1551.759825327511,1,2,0.17183509668004376
Arkansas State University Mid-South,"Memphis, TN",13.77272727272727,3.4380165289256155,1403.673553719009,0,2,0.24962496249624935
Arkansas State University Three Rivers,"Hot Springs, AR",7.684466019417478,0.6359223300970867,1519.6456310679616,1,2,0.08275426405559053
Arkansas State University-Beebe,"Searcy, AR",19.265705458290427,4.006179196704432,3834.2554067971223,1,2,0.20794355054257777
Arkansas State University-Mountain Home,"Mountain Home, AR",11.851666666666658,1.2666666666666675,1352.618333333333,1,2,0.10687666994796809
Arkansas State University-Newport,"Searcy, AR",15.403963414634143,4.349085365853656,2183.583841463416,1,2,0.2823354774863928
