
city,state_name,county_fips,county_name,population
New York,New York,36081,Queens,18832416
Los Angeles,California,6037,Los Angeles,11885717
Chicago,Illinois,17031,Cook,8489066
Miami,Florida,12086,Miami-Dade,6113982
Houston,Texas,48201,Harris,6046392
Dallas,Texas,48113,Dallas,5843632
Philadelphia,Pennsylvania,42101,Philadelphia,5696588
Atlanta,Georgia,13121,Fulton,5211164
Washington,District of Columbia,11001,District of Columbia,5146120
Boston,Massachusetts,25025,Suffolk,4355184
Phoenix,Arizona,4013,Maricopa,4065338
Detroit,Michigan,26163,Wayne,3716929
Seattle,Washington,53033,King,3555253
San Francisco,California,6075,San Francisco,3364862
San Diego,California,6073,San Diego,3057778
Minneapolis,Minnesota,27053,Hennepin,2906807
Tampa,Florida,12057,Hillsborough,2906035
Brooklyn,New York,36047,Kings,2736074
Denver,Colorado,8031,Denver,2691349
Queens,New York,36081,Queens,2405464
Riverside,California,6065,Riverside,2288508
Las Vegas,Nevada,32003,Clark,2256509
Baltimore,Maryland,24510,Baltimore,2189589
St. Louis,Missouri,29510,St. Louis,2127843
Portland,Oregon,41051,Multnomah,2084045
San Antonio,Texas,48029,Bexar,2069843
Sacramento,California,6067,Sacramento,1962998
Austin,Texas,48453,Travis,1915031
Orlando,Florida,12095,Orange,1913597
San Juan,Puerto Rico,72127,San Juan,1809800
San Jose,California,6085,Santa Clara,1771563
Indianapolis,Indiana,18097,Marion,1740984
Pittsburgh,Pennsylvania,42003,Allegheny,1712828
Cincinnati,Ohio,39061,Hamilton,1704916
Manhattan,New York,36061,New York,1694263
Kansas City,Missouri,29095,Jackson,1686807
Cleveland,Ohio,39035,Cuyahoga,1679247
Columbus,Ohio,39049,Franklin,1578153
Bronx,New York,36005,Bronx,1472654
Charlotte,North Carolina,37119,Mecklenburg,1436613
Virginia Beach,Virginia,51810,Virginia Beach,1431821
Jacksonville,Florida,12031,Duval,1303156
Milwaukee,Wisconsin,55079,Milwaukee,1290221
Providence,Rhode Island,44007,Providence,1270529
Nashville,Tennessee,47037,Davidson,1178679
Salt Lake City,Utah,49035,Salt Lake,1169033
